question,answer
What are the timings?,"The college runs from 9 AM to 4 PM."
How can I apply for admission?,"You can apply through the official college website."
What courses are offered?,"We offer BCA, BCom, and BBA programs."
Where is the college located?,"The college is located in Mangalore, Karnataka."
What is the contact number?,"You can contact us at +91 9876543210."
About the college?, "Welcome to Shree Devi Education Trust. The Shree Devi Education Trust is a respected nam"
Accreditations ranking and achievements, "National Assessment and Accreditation Council (NAAC) B+ Grade Institution's"
Campus Map,"https://maps.app.goo.gl/n286Wd8zeiC4BwAD7"
Department and courses, "Refer website"
Hi,"How can i assist you admission process, courses, campus facilities, or any other information you need about our college?"
