question,answer
What are the timings?,"The college runs from 9 AM to 4 PM."
How can I apply for admission?,"You can apply through the official college website."
What courses are offered?,"Shree Devi Institute of Technology (B.E., M. Tech., M.B.A. & M.C.A) Shree Devi College of Pharmacy (B. Pharm., M. Pharm. & PharmD)"
Where is the college located?,"The college is located in Kenjar,Mangalore, Karnataka."
What is the contact number?,"You can contact us at +91 9876543210."
About the college?, "Welcome to Shree Devi Education Trust. The Shree Devi Education Trust is a respected college which is established in 1992"
Accreditations ranking and achievements, "National Assessment and Accreditation Council (NAAC) B+ Grade Institution's"
Campus Map,"https://maps.app.goo.gl/n286Wd8zeiC4BwAD7"
Clubs and Actitivities,"The college has various clubs including Linguanova, Media Mavericks,Coders Nexus, and more."
Hi,"How can i assist you admission process, courses, campus facilities, or any other information you need about our college?"
Facilities,"The college offers modern classrooms, a well-stocked library, computer labs, sports facilities, and a cafeteria."
Library hours,"The library is open from 9 AM to 6 PM on weekdays and from 10 AM to 4 PM on weekends."
QUERIES,"I can help you with information about admission procedure, courses offered,timings,campus location, campus facilities, contact details,fee structure,placements,rankings,events and accreditation and more. Just ask your question!"
Events,"Sambhram,Surabhi,Samshodam ,Techno Park, Sports Meet, Cultural Fest etc"
Tuition fees,"The tuition fees vary by program. Please visit our official website or contact the admissions office for detailed information."
placement,"Comapnies which provide placements in our college are TCS, Infosys, Wipro, Accenture, Capgemini, IBM, Cognizant, L&T Infotech, Mindtree, Mphasis, Tech Mahindra, HCL Technologies etc"
Faculty,"Our faculty members are highly qualified and experienced in their respective fields, dedicated to providing quality education and mentorship to students."
fee structure,"https://drive.google.com/file/d/1PTVx7MusikPKovjYKYBpFCWqlBlowAgG/view?usp=sharing"
